,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,98.16,97.89,290.46,98.16,59.44,179.11,154.64,11.03,1.61,115.91,260.07,56.75,55.13,183.96,236.94,153.57,233.44
1,40.34,64.01,297.18,12.1,219.46,205.2,148.72,59.7,272.17,243.12,251.73,241.51,107.58,84.45,112.42,232.37,188.26
2,353.1,81.15,616.28,59.95,655.76,443.75,804.9,613.36,766.15,501.51,620.67,710.59,380.15,285.84,823.17,380.15,713.51
3,389.0,327.0,250.0,312.0,157.0,390.5,540.5,171.5,278.0,73.5,374.5,155.0,320.5,299.5,132.5,561.0,56.5
4,222.5,238.5,565.0,394.0,60.5,588.0,294.0,371.0,324.0,544.0,259.0,172.5,265.5,541.5,145.5,567.5,205.0
5,9.14,273.24,178.58,192.29,60.78,170.24,179.92,46.8,248.5,43.03,142.81,40.88,238.55,118.33,94.4,4.84,317.62
6,56.03,136.96,53.52,111.1,139.11,41.72,97.15,65.68,141.61,72.24,133.03,15.85,89.88,17.76,120.39,74.62,51.5
7,639.68,301.2,685.73,622.13,563.65,662.34,543.18,698.16,454.72,831.21,557.8,69.45,288.04,483.96,872.15,655.03,850.95
8,362.0,464.5,326.0,215.5,507.0,478.0,253.0,142.5,398.5,30.0,114.0,206.5,562.5,181.0,403.0,44.5,388.5
9,710.59,559.99,133.78,41.67,548.29,378.69,536.6,274.15,518.32,602.39,377.96,712.78,390.39,46.06,704.01,850.22,32.9
10,318.5,536.5,393.5,102.5,233.0,441.0,195.0,323.5,20.5,423.5,514.0,379.5,306.5,523.5,127.0,395.5,489.5
11,397.24,192.89,415.74,128.6,329.42,378.74,17.62,788.31,23.78,700.23,484.44,535.52,627.13,621.84,534.64,510.86,253.67
12,17.75,93.86,92.52,129.9,210.85,49.22,18.29,301.48,158.94,34.96,270.56,264.64,235.86,317.89,197.67,69.66,176.16
13,133.5,474.0,408.0,483.0,566.5,411.5,337.0,8.5,466.0,68.5,146.0,599.0,384.0,312.5,249.5,390.5,282.0
14,122.54,43.39,25.27,7.51,87.61,57.1,131.24,124.45,72.71,44.11,83.32,109.31,50.54,87.61,38.74,30.16,72.12
15,143.0,165.0,360.0,478.0,28.0,566.0,56.0,213.5,269.5,441.0,392.0,531.0,205.5,472.5,388.0,572.5,490.5
16,352.5,169.0,464.0,384.0,140.0,141.0,532.0,79.5,359.5,379.5,51.5,368.0,315.0,67.0,111.0,149.5,229.0
